track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0CatzXH85XWyBqqdB6qPMB,Beatbox,1gBUSTR3TyDdTVFIaQnc02,NCT DREAM,4sM1qNxjzxOvoH6jeFHx3W,205133,2022-05-30,74,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
6I2tqFhk8tq69iursYxuxd,HOT,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,4lfFgz2rD1irxf7dZhNJht,197586,2022-05-27,78,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
5uFqjHOo3Sh0bVPCKf3DdH,Illusion,6YVMFz59CuY7ngCxTxjpxE,aespa,4r815m6eq8OXYzfqtk3FST,195053,2022-06-01,73,0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75e-05,0.322,0.592,90.027,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
00vy9aiFjxMfnKniQAYzrC,Love Shhh!,3LFFf4EpKn2krneZ9vozyz,JO YURI,1EAzLUzatSBIs8tA047f5f,199066,2022-06-02,57,0.724,0.921,9,-1.489,1,0.0786,0.0709,0.0,0.121,0.748,118.008,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
296nXCOv97WJNRWzIBQnoj,FEARLESS,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,4Mc7WwYH41hgUWeKX25Sot,168437,2022-05-02,84,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,0.432,103.971,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
7nthiiDfS9WHNHDMwmAz98,BTBT,0UntV1Bw2hk3fbRrm9eMP6,B.I,3KFvIKBPy0SciyKwrebvpO,219549,2022-05-13,74,0.766,0.663,9,-6.932,0,0.175,0.334,0.0,0.117,0.509,109.967,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
4IaxDf2FixiQXq0mW7key9,ZOOM,64k5e9kV9MdukXjFrR5R37,Jessi,57dUGxpMd89tEkY3ZVwfKz,174840,2022-04-13,84,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
4jP982FpZoDv729D0X8BiN,AURA,6hhqsQZhtp9hfaZhSd0VSD,WJSN,5ZorEUDqewnEygf4FAOjhm,215026,2022-05-27,63,0.773,0.793,8,-2.971,0,0.14,0.193,0.0,0.0719,0.47,119.969,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
1HsSIPLTQT354yJcQGfEY3,Good Boy Gone Bad,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,1o8jYrnyZueTPIdhlHuTc8,191038,2022-05-09,82,0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
2tEMbypmvYhf84mzVbhxwZ,NANANA,6nfDaffa50mKtEOwR8g4df,GOT7,3vIVsuFU7ZKCwKB2Yri8lM,187466,2022-05-23,74,0.706,0.692,5,-4.433,0,0.0277,0.0768,0.0,0.173,0.601,137.006,37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온)
