track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
2jbf9EytR7fzpSrPWAYCf9,Paraluman,1DlYnIiliftt6R21Y5NOW2,Adie,0kQW4dCqjMfD2Vlrf6h8Cw,312320,2021-03-26,76,0.519,0.246,5,-13.85,1,0.0396,0.774,2.35e-06,0.0946,0.108,90.121,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
6wdCelHrPh7UfliNjwRTUv,Leaves,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,5Yl1Bi501CuE72jaVK4e3y,310708,2017-03-31,69,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
16iRlyUMJVPqz62DlomMre,Ikaw Lang,5GVk1KCKa1tdHRev4bMw7V,NOBITA,1nft8RTZE2QYeDPPNEnCBx,263500,2020-06-12,76,0.513,0.38,11,-11.091,1,0.0336,0.12,0.0,0.0924,0.323,120.952,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3OpGUlDmRUXh0NkIYWoIlD,Your Song,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,0kV35wyXIJKk04VRG0DdF4,168493,2003,68,0.636,0.159,11,-13.117,1,0.0549,0.892,0.0,0.112,0.658,119.766,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
4IeuTj1pEHuL9vJSiEqEfR,Ligaya,31fsDbpNPKe346urriO4ma,mrld,0ccUyUkrIynFO5USku5IHH,248800,2021-10-06,73,0.458,0.533,0,-5.249,1,0.0381,0.447,0.0,0.114,0.343,149.832,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
2X5AFygz5SDYlXagyPw8kX,Binibini,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,0oJLtle44OSumLZj1WDEf0,221538,2021-03-26,70,0.642,0.374,5,-10.606,1,0.032,0.423,1.54e-06,0.435,0.0979,129.863,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
761frfZtZ8I2g70UsjFfBK,I Need You More Today,3XEHRbR9NMWfNzQ6TQMS9M,Caleb Santos,4TyVEjoScAou6qVjhXyYfp,233728,2016-12-02,30,0.474,0.522,11,-7.513,1,0.0408,0.36,0.0,0.123,0.448,157.225,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3VcVQmMivq2ISfKUmIuvMK,Rainbow,6ZgBJRjJsK1iOJGKGZxEUv,South Border,6bMej3xtNOTiiHLdhR4wzX,347120,2005-01-01,61,0.66,0.224,5,-13.426,1,0.0307,0.425,2.02e-06,0.101,0.382,88.011,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
1FHCU1rDAeaPsBW9byjJ0Q,12:51,09DdQEMQaaq0f99vqqub3V,krissy & ericka,5M4GVkxOl3joHIkvNrAlbJ,246280,2011-01-01,62,0.503,0.357,3,-9.36,1,0.0272,0.727,0.0,0.128,0.438,136.135,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
0WZqHCoOBXqgCCIsUZLC2a,Pagsamo,7uDdl5V5AETSFY7K3muu22,Arthur Nery,668hRB0T4LU6a7HVspAMKy,297001,2021-10-01,76,0.644,0.315,6,-9.382,1,0.0339,0.706,0.00162,0.0962,0.356,60.001,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,291357,2005,70,0.558,0.553,4,-6.669,1,0.0323,0.492,0.0,0.116,0.251,134.263,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,4nQxblVnnFPehg9ujzdJ8L,318814,2017-06-23,69,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
267RumTt5KeLBGl2KWxBL0,Dating Tayo,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,01f1BJjxsFyuX580Fk8Gjk,239480,2016-05-19,69,0.551,0.329,7,-10.731,1,0.0431,0.648,3.82e-05,0.0925,0.331,139.699,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7IW9irtFutjRET02MjOjdW,244800,2021-10-15,76,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
2v5VIWMjZxeiG52KckiXxS,Ikaw Lamang,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,08SEZDvRXrrNs1C2y73MLi,306466,2007,68,0.394,0.623,9,-5.029,1,0.0384,0.573,0.0,0.0937,0.316,115.003,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
63qA4ydokzNOFpsaNlsYsC,Higa,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,245760,2019-10-25,38,0.657,0.337,9,-10.546,1,0.0433,0.45,0.0,0.106,0.183,125.057,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
6mdmVPI2uIR2B2kHRRI8nb,Tell Me Where It Hurts,5elcNQkZ6FCZA3grSOMngY,MYMP,0tH9g6Q7va9BzCY2pAFygZ,253013,2005-05-09,1,0.726,0.542,7,-7.952,1,0.042,0.702,0.0,0.0962,0.396,89.583,37i9dQZF1DX4olOMiqFeqU,OPM Favorites
