artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,40722325,"['dance pop', 'pop']",87
4IWBUUAFIplrNtaOHcJPRM,James Arthur,9809250,"['pop', 'talent show', 'uk pop']",77
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19124360,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",81
04gDigrS5kc9YWfZHwBETP,Maroon 5,36512576,['pop'],84
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,7755969,"['dance pop', 'pop', 'post-teen pop']",70
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,10337209,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",74
540vIaP2JwjQb9dm3aArA4,DJ Snake,7822739,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",77
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,45175551,"['canadian contemporary r&b', 'canadian pop', 'pop']",92
46GXASE9LHzyssNqKOInUu,Dawin,220711,['nyc pop'],51
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6286772,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",74
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3554031,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",75
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,4603085,['ohio hip hop'],81
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,20128762,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",75
7gAppWoH7pcYmphCVTXkzs,The Vamps,5185873,"['boy band', 'dance pop', 'pop', 'post-teen pop']",70
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15554968,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",76
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,79889332,"['dance pop', 'pop']",87
02A3cEvlLLCbIMVDrK2GHV,Starley,159503,"['aussietronica', 'dance pop', 'pop dance', 'tropical house']",56
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1062247,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",70
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,37902437,"['canadian pop', 'pop', 'viral pop']",84
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4795482,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",75
0jKQrxK2zHqxyOAyIMrUQt,SUD,459065,"['opm', 'pinoy rock']",50
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,16200135,"['dance pop', 'pop', 'viral pop']",80
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3659941,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",74
3e7awlrlDSwF3iM0WBjGMp,Little Mix,10371844,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",78
3iri9nBFs9e4wN7PLIetAw,Garrett Nash,1589427,"['pop', 'pop rap']",64
31TPClRtHm23RisEBtV3X7,Justin Timberlake,12126927,"['dance pop', 'pop']",78
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6875708,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,6790437,"['australian pop', 'dance pop', 'pop', 'viral pop']",77
3TVXtAsR1Inumwj472S9r4,Drake,63681085,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",93
6Dd3NScHWwnW6obMFbl1BH,Daya,1384484,"['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",69
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62390,[],40
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,2499651,"['opm', 'pinoy rock']",60
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,317495,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']",57
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,392922,"['pop', 'pop rap', 'r&b']",64
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1347615,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",67
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1290706,['pop rap'],67
3wbCeEPAW6po7J46netxMT,Up Dharma Down,829334,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",51
0q4NrXqJnc367PieejuROJ,Vice,19708,['chicano rap'],43
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,97687440,"['pop', 'uk pop']",91
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,7012045,['opm'],65
3r3Rkuc4jmZHXgchgaXwnv,Suzi,8184,[],42
15NtJjjHRFybdNSMyM9smT,Nevada,14680,['eurodance'],47
7CajNmpbOovFoOoasH2HaY,Calvin Harris,22748187,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",82
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,14375900,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']",68
1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,579747,['opm'],45
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,10075502,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",75
0NGAZxHanS9e0iNHpR8f2W,Alok,11465891,"['electro house', 'pop nacional', 'slap house']",77
787bCXOIvGeBw0Bc4kEjhD,Luke Christopher,164624,"['indie pop rap', 'pop rap']",49
0DnjaQqb436AH1idffI6CQ,Yeng Constantino,2268355,['opm'],57
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,61163485,"['canadian pop', 'pop']",91
1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1434088,['opm'],52
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1785336,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",70
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,1261203,"['dance pop', 'edm', 'pop', 'pop rap']",70
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,1940948,"['danish pop', 'pop', 'scandipop']",70
05o1zW8b6PV6rEquXr74sB,State of Sound,44485,"['deep tropical house', 'swedish tropical house', 'tropical house']",40
5y2Xq6xcjJb2jVM54GHK3t,John Legend,6179610,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",76
5WUlDfRSoLAfcVSX1WnrxN,Sia,23385381,"['australian dance', 'australian pop', 'pop']",82
4BNWanhw4AjSXjBm9L1Jzy,Juris,653846,['opm'],53
6T5tfhQCknKG4UnH90qGnz,DNCE,4181458,"['dance pop', 'pop', 'post-teen pop']",70
2kZThDGZcHl4klYYFk0v8n,Moonstar88,816089,"['opm', 'pinoy rock', 'pop rock']",51
4dpARuHxo51G3z768sgnrY,Adele,38430158,"['british soul', 'pop', 'pop soul', 'uk pop']",84
4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,14879,['opm'],34
0bdfiayQAKewqEvaU6rXCv,MØ,1379619,"['art pop', 'dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']",69
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,11399298,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",74
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,2927814,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",77
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,36015637,"['permanent wave', 'pop']",86
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,33997682,['electro house'],80
5M0lbkGluOPXLeFjApw8r8,Shelley FKA DRAM,817661,"['pop rap', 'rap', 'virginia hip hop']",61
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,22475379,"['modern rock', 'rock']",79
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,3087892,['opm'],55
2tQbSWgZLIB8MXMnsXVRro,Nina,582776,['opm'],53
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,149232,['opm'],47
5elcNQkZ6FCZA3grSOMngY,MYMP,886737,['opm'],57
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,808943,"['dance pop', 'hyphy', 'pop rap', 'southern hip hop']",64
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,914145,['tropical house'],64
6ZgBJRjJsK1iOJGKGZxEUv,South Border,826067,['opm'],55
24fEOzlKhgSNLIcy9NdmwH,James Reid,310102,"['deep neofolk', 'opm', 'pinoy r&b']",52
3nZa8vRD64ueq3d0JNYTsl,6cyclemind,931500,"['opm', 'pinoy rock', 'pop rock']",50
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,48714224,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",87
6s22t5Y3prQHyaHWUN1R1C,AJR,2236468,['modern rock'],74
2wY79sveU1sp5g7SokKOiI,Sam Smith,19545474,"['dance pop', 'pop', 'uk pop']",81
4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,592365,['opm'],52
21E3waRsmPlU7jZsS13rcj,Ne-Yo,7134581,"['dance pop', 'pop', 'r&b', 'urban contemporary']",77
0ekbDNE2eOq8QiaXM34wer,Howie Day,298409,"['acoustic pop', 'neo mellow', 'pop rock']",54
2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,207010,['opm'],44
0jarApAsbmiCkYhz0590mE,Freestyle,198027,"['opm', 'pop rock']",55
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,8532324,"['dance pop', 'pop', 'post-teen pop']",75
3C4t1usFGoKHCSRdujm2GN,Ryan Cabrera,76070,"['neo mellow', 'pop rock', 'post-teen pop']",46
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,896234,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'urban contemporary']",60
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,26091892,"['boy band', 'pop', 'post-teen pop', 'talent show']",83
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4228247,"['neo mellow', 'pop']",78
0EmeFodog0BfCgMzAIvKQp,Shakira,23650668,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",82
3wjsrpfO6odEphTZWx45RQ,Hearts & Colors,125004,"['channel pop', 'neo mellow', 'viral pop']",52
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,2223425,"['neo mellow', 'permanent wave', 'pop rock']",70
